"","clusterID_seq","window_type","watershed","year","catchment_km2","TO","Nhat","t","surveyPeriod","SWA","VA","NDVI","riparian_area_m2","dam_km","clusterID_unique","clusterID_num","stream","sampleEvent","year_id","damPresence","sampleEvent_new","logSWA","y","y_veg","dam_km_std"
"737",12,"dammed","LT",2023,270.03973,44.2944488045774,1.15590940812002,6,"236",0,10974.2029898849,0.320608927775939,8367.15234462917,4.62363763248008,"2023.LT.12",114,4,10,3,1,10,0,0,1,0.529628778271374
"738",12,"dammed","LT",2023,270.03973,44.2944488045774,1.15590940812002,7,"237",0,8502.49767441095,0.270250933900148,8367.15234462917,4.62363763248008,"2023.LT.12",114,4,11,3,1,11,0,0,1,0.529628778271374
"739",12,"dammed","LT",2023,270.03973,44.2944488045774,1.15590940812002,8,"238",0,7898.24479582544,0.248354536934558,8367.15234462917,4.62363763248008,"2023.LT.12",114,4,12,3,1,12,0,0,1,0.529628778271374
"740",12,"undammed","LT",2023,269.98218,51.1636404648015,0,5,"235",112.455865069932,13985.9767981137,0.315371322210089,7573.72895123437,0,"2023.LT.12",114,4,9,3,0,9,4.73141390728872,1,1,-0.939641437061175
"741",12,"undammed","LT",2023,269.98218,51.1636404648015,0,6,"236",37.4427002170507,12158.7796170403,0.317460413610344,7573.72895123437,0,"2023.LT.12",114,4,10,3,0,10,3.64916882661554,1,1,-0.939641437061175
"742",12,"undammed","LT",2023,269.98218,51.1636404648015,0,7,"237",295.676184118963,9005.12281859155,0.270416027765321,7573.72895123437,0,"2023.LT.12",114,4,11,3,0,11,5.69264125484336,1,1,-0.939641437061175
"743",12,"undammed","LT",2023,269.98218,51.1636404648015,0,8,"238",3.68857752201604,8322.32543032777,0.248642526209144,7573.72895123437,0,"2023.LT.12",114,4,12,3,0,12,1.54512923624358,1,1,-0.939641437061175
"744",13,"dammed","LT",2023,269.59665,48.018430262323,6.97912770809073,5,"235",0,22884.5964440439,0.364414978525568,15245.8423983753,15.172016756719,"2023.LT.13",125,4,9,3,1,9,0,0,1,3.88162573374356
"745",13,"dammed","LT",2023,269.59665,48.018430262323,6.97912770809073,6,"236",0,20448.55296948,0.370743492046031,15245.8423983753,15.172016756719,"2023.LT.13",125,4,10,3,1,10,0,0,1,3.88162573374356
"746",13,"dammed","LT",2023,269.59665,48.018430262323,6.97912770809073,7,"237",0,16066.6580266317,0.322169722794843,15245.8423983753,15.172016756719,"2023.LT.13",125,4,11,3,1,11,0,0,1,3.88162573374356
"747",13,"dammed","LT",2023,269.59665,48.018430262323,6.97912770809073,8,"238",0,15456.6667812273,0.293134513055611,15245.8423983753,15.172016756719,"2023.LT.13",125,4,12,3,1,12,0,0,1,3.88162573374356
"748",13,"undammed","LT",2023,267.74402,54.1211548079967,0,5,"235",771.175388087946,27712.1779936547,0.315807521546636,14523.5661900584,0,"2023.LT.13",125,4,9,3,0,9,6.64921171086422,1,1,-0.939641437061175
"749",13,"undammed","LT",2023,267.74402,54.1211548079967,0,6,"236",294.922803946102,25875.3425752827,0.30047416053068,14523.5661900584,0,"2023.LT.13",125,4,10,3,0,10,5.6900986228311,1,1,-0.939641437061175
"750",13,"undammed","LT",2023,267.74402,54.1211548079967,0,7,"237",227.630835006284,14855.3847477034,0.275525553580214,14523.5661900584,0,"2023.LT.13",125,4,11,3,0,11,5.43210862855608,1,1,-0.939641437061175
"751",13,"undammed","LT",2023,267.74402,54.1211548079967,0,8,"238",0,14644.4752859677,0.256568852034807,14523.5661900584,0,"2023.LT.13",125,4,12,3,0,12,0,0,1,-0.939641437061175
"752",17,"dammed","LT",2023,255.91283,50.499723284107,6.96157110854996,5,"235",0,30405.1454982683,0.370097064101111,18039.1998164151,10.237604571397,"2023.LT.17",162,4,9,3,1,9,0,0,1,2.31359955385049
"753",17,"dammed","LT",2023,255.91283,50.499723284107,6.96157110854996,6,"236",0,27070.061184842,0.351300323045923,18039.1998164151,10.237604571397,"2023.LT.17",162,4,10,3,1,10,0,0,1,2.31359955385049
"754",17,"dammed","LT",2023,255.91283,50.499723284107,6.96157110854996,7,"237",89.7168838290607,21040.1806429395,0.305784708753237,18039.1998164151,10.237604571397,"2023.LT.17",162,4,11,3,1,11,4.50774349006256,1,1,2.31359955385049
