system:index,Input_FID,NDVI_mean_veg21_5,NDVI_mean_veg21_6,NDVI_mean_veg21_7,NDVI_mean_veg21_8,Shape_Area,Shape_Leng,Veg_area_m2_veg21_5,Veg_area_m2_veg21_6,Veg_area_m2_veg21_7,Veg_area_m2_veg21_8,.geo
00000000000000000018,3832,0.2822405575631554,0.2876481374009981,0.36662119795162484,0.3659247315042071,693.237320224,147.41059956,167.00632503733917,109.67977360744104,167.00632503733917,167.00632503733917,"{""type"":""Polygon"",""coordinates"":[[[-106.86676733148751,48.162827351597365],[-106.86635374474685,48.16320469840805],[-106.86638078772397,48.1632132563971],[-106.86640117755145,48.16322180308171],[-106.8664216596466,48.16323485861247],[-106.86644199162642,48.16324349199001],[-106.8664623236202,48.16325212536431],[-106.86648932312079,48.16326061191416],[-106.86650971302349,48.163269158581556],[-106.86653671256151,48.163277645119926],[-106.86654351589823,48.16328207856177],[-106.86693859712759,48.16276201172779],[-106.86676733148751,48.162827351597365]]]}"
00000000000000000019,3880,0.37232082912810893,0.30702425101338926,0.34991389333174144,0.31572303815089614,846.641245625,204.828245229,624.0665704764572,399.726756107106,516.2160231945561,513.8600686765184,"{""type"":""Polygon"",""coordinates"":[[[-106.86877805870114,48.16102604518412],[-106.8687644376242,48.161017337104326],[-106.86874391173153,48.16100421121665],[-106.86872342942954,48.160991156737275],[-106.86869643033202,48.16098267116892],[-106.86867599705054,48.16097405392034],[-106.86864899799055,48.16096556834047],[-106.86863557097486,48.1609613536098],[-106.8680688808973,48.16171640646659],[-106.86808936319093,48.16172946126493],[-106.86812307339633,48.161737871603655],[-106.86878491996374,48.161030391580496],[-106.86877805870114,48.16102604518412]]]}"
0000000000000000001a,3739,0.3152490179624235,0.3059913366201466,0.2895703358731206,0.2495347680127684,861.952562011,185.971657859,620.398063659668,469.09421961167277,859.1337076822917,787.4084108539657,"{""type"":""Polygon"",""coordinates"":[[[-106.86123332150476,48.16154147760584],[-106.86122680421659,48.16154604607353],[-106.86121396270532,48.16155967645728],[-106.86120112118597,48.161573306843025],[-106.86120127069876,48.1615777288785],[-106.86119475340217,48.16158229734739],[-106.86118191186986,48.16159592773675],[-106.86116907032945,48.16160955812813],[-106.86115637828789,48.161627610561396],[-106.86115020354593,48.16164109452817],[-106.86113741004742,48.16165916224875],[-106.861131428351,48.16167713968153],[-106.86112510408893,48.16168620161449],[-106.86224426177725,48.161806526593786],[-106.86225666856333,48.16177947175899],[-106.86123332150476,48.16154147760584]]]}"
0000000000000000001b,3373,0.3152924095389814,0.26333121552209515,0.34807689085705285,0.3347257954878443,648.171036509,132.141286947,646.485772824755,607.487239673091,646.7475070429784,646.7475070429784,"{""type"":""Polygon"",""coordinates"":[[[-106.8397254638963,48.168846201087625],[-106.839725610747,48.16885062383305],[-106.83972599146665,48.16885961219549],[-106.83972632867712,48.16886852912422],[-106.8397268127381,48.16888186880249],[-106.83972723886582,48.1688952951776],[-106.83973462338228,48.1689130555227],[-106.83974186295387,48.16893075969592],[-106.83974253738029,48.16894859357866],[-106.83975653057823,48.16896629567053],[-106.83976377016991,48.168983999859456],[-106.83977081750096,48.168992843279895],[-106.83979181456422,48.16901931736932],[-106.8403590779506,48.16882708187044],[-106.8404434964191,48.168758784267304],[-106.8397254638963,48.168846201087625]]]}"
0000000000000000001c,3612,0.34449963624436375,0.2893384819900668,0.2737385019467685,0.2698999781847745,663.476041301,176.630711262,395.7619538251092,261.48555109360643,669.2882524976543,669.2882524976543,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.85485811114572,48.166351951214104],[-106.85473782158425,48.16634939692277],[-106.85473299702011,48.166403071648105],[-106.85473318925271,48.16640756554352],[-106.85472667072648,48.16641213402382],[-106.85472686295824,48.16641662792004],[-106.85552570458599,48.166537703262684],[-106.85554526011434,48.16652399762801],[-106.85562290509463,48.16645569340068],[-106.85485811114572,48.166351951214104]]],[[[-106.85455730606738,48.16634343302304],[-106.85454553108042,48.166388250671616],[-106.85464626490847,48.166404510631715],[-106.85465269266098,48.166395432989],[-106.85465921118768,48.16639086451514],[-106.85465906250707,48.16638644204506],[-106.85466558103178,48.16638187357159],[-106.85467842585152,48.166368242731906],[-106.85469112197838,48.166350189427334],[-106.85469092975055,48.16634569553659],[-106.85455730606738,48.16634343302304]]]]}"
0000000000000000001d,3334,0.39635688749040615,0.3147817890810586,0.3859946308915522,0.36796105730082435,683.219300008,148.385939227,670.8243938072054,670.8243938072054,670.8243938072054,670.8243938072054,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-106.838024436586,48.168886803666325],[-106.83803094976574,48.16888223330055]]},{""type"":""Polygon"",""coordinates"":[[[-106.83725121501746,48.16910908039436],[-106.83725212337843,48.169135846639335],[-106.83725849672825,48.1691268562914],[-106.83726568983332,48.169140122719774],[-106.83727944795574,48.16915325961794],[-106.8372935410913,48.16917094691874],[-106.8373072992383,48.16918408381997],[-106.83732776736512,48.16919714736687],[-106.83734167048358,48.16921034045027],[-106.83735528210806,48.16921905456585],[-106.83738260682345,48.16923646753915],[-106.83739636341834,48.16924523783377],[-106.8374166415575,48.169253807147534],[-106.83742358674229,48.169262666058614],[-106.83802441669475,48.16888682291926],[-106.83725121501746,48.16910908039436]]]}]}"
0000000000000000001e,4762,,0.1970830632288472,0.2746058542702451,0.2820006045197874,573.881768146,139.543582896,0.0,320.387526029699,576.6448129092946,572.7185142068303,"{""type"":""Polygon"",""coordinates"":[[[-106.93061205541795,48.16471560802109],[-106.93059384858887,48.16476500484007],[-106.93058630345118,48.16527430327311],[-106.93060626305572,48.16527393582446],[-106.93062646801121,48.16527813316175],[-106.9306531438165,48.16527768568875],[-106.93066653247175,48.165277454272186],[-106.93070639531837,48.16527228195961],[-106.93070685498444,48.16528570614937],[-106.93075241318412,48.16525362077822],[-106.93079591547446,48.16516802756919],[-106.93061205541795,48.16471560802109]]]}"
0000000000000000001f,6280,0.2568027079105377,0.19997982284469426,0.23980236900376212,0.1981460057057086,633.346787623,148.044542892,56.281914056516165,200.7824920953489,631.9290648815678,549.7311724494484,"{""type"":""Polygon"",""coordinates"":[[[-107.02017239023327,48.16049166086737],[-107.01999883492572,48.16049028980984],[-107.01997881465094,48.160490604874084],[-107.01943433474406,48.16073687482324],[-107.01940210241128,48.16076424645539],[-107.01952306775955,48.160784462817276],[-107.01953636615221,48.16078423420817],[-107.02027316703702,48.16050777007306],[-107.02017239023327,48.16049166086737]]]}"
00000000000000000020,2622,0.26592565844121496,0.19801042904172625,0.24592631579800084,0.23934795188407101,663.020777039,135.042953911,69.87240732230393,228.98217626833448,287.8631998997109,157.01647129432828,"{""type"":""Polygon"",""coordinates"":[[[-106.80415451502186,48.176882098083595],[-106.80388051899213,48.17725705772337],[-106.80384362058658,48.177346971895346],[-106.80387744778419,48.17735983147656],[-106.80388419773713,48.1773641993126],[-106.80390460948784,48.17737283352604],[-106.80393158534645,48.17738134047963],[-106.80395181125375,48.17738547959406],[-106.80397878714666,48.17739398653559],[-106.80400557717898,48.17739799837866],[-106.80403251209555,48.177402066456146],[-106.80405915969912,48.17740165465722],[-106.80407267668181,48.177405864770286],[-106.8041886704231,48.17690387607909],[-106.80415451502186,48.176882098083595]]]}"
00000000000000000021,232,0.37688871766497195,0.31521174104424693,0.38335760206685643,0.3694413237553008,599.505482199,137.24484806,559.2567945891736,600.0630855186314,600.0630855186314,600.0630855186314,"{""type"":""Polygon"",""coordinates"":[[[-106.69209295736567,48.19963561280875],[-106.69195782502764,48.19958844578125],[-106.69195859793857,48.19961079039329],[-106.69194493136612,48.19960206468881],[-106.69193822675469,48.19960212782786],[-106.69194693362218,48.19966454458176],[-106.69199130974158,48.199793393528616],[-106.69263002454878,48.19991798913821],[-106.69209295736567,48.19963561280875]]]}"
00000000000000000022,5241,,0.18345683358888573,0.2607980075872169,0.25257456370957604,407.921343343,124.485980064,0.0,48.94621306774663,138.7244084676107,182.69752337885836,"{""type"":""Polygon"",""coordinates"":[[[-106.95986346876147,48.16691352730148],[-106.95982291946565,48.16690079454624],[-106.95952801519005,48.16687013110746],[-106.96011569287745,48.167226341603225],[-106.95986346876147,48.16691352730148]]]}"
00000000000000000023,2394,0.3692864436556686,0.3266781091226987,0.34524621269164685,0.2420500461956323,778.691034618,145.345699445,372.17151246912334,471.6263883403703,741.9860369214825,283.9700022678749,"{""type"":""Polygon"",""coordinates"":[[[-106.78404614945866,48.170854072037784],[-106.78403245670282,48.17084536481024],[-106.78403278024813,48.170854282610925],[-106.78391693397757,48.17136518439117],[-106.78392364035466,48.17136511484331],[-106.78394385618218,48.17136925794069],[-106.78397063361699,48.171373275214776],[-106.78399755584982,48.171377348749196],[-106.78401082383685,48.17137715337351],[-106.78413793223964,48.171384065371],[-106.78415130165745,48.1713838547759],[-106.7841779390909,48.17138344877951],[-106.7842046779397,48.17138302757601],[-106.7842313153882,48.1713826215645],[-106.7842579141446,48.171377777135156],[-106.78404614945866,48.170854072037784]]]}"
00000000000000000024,700,0.3539860411559608,0.350645244986351,0.4670861111763788,0.4578091236097471,407.238809839,100.328079229,292.7212199192421,410.17581269507315,410.17581269507315,410.17581269507315,"{""type"":""Polygon"",""coordinates"":[[[-106.7104600495477,48.197300381739794],[-106.7105354551128,48.19735729378963],[-106.71063719042232,48.197404897051754],[-106.71067777379756,48.19741771590752],[-106.71101324547804,48.19726090726043],[-106.71103266540675,48.197242724797825],[-106.71103858630617,48.19722031714918],[-106.7104600495477,48.197300381739794]]]}"
00000000000000000025,6237,,0.20902770697757914,0.24644902702580151,0.2272355431457982,718.956883942,149.45179186,0.0,299.4585383994907,306.26428267535044,167.5294282202627,"{""type"":""Polygon"",""coordinates"":[[[-107.01772215012913,48.162866130869425],[-107.01765725533599,48.1629118898439],[-107.01749649361659,48.163240769419744],[-107.01755940074716,48.163311170275975],[-107.01776025002903,48.16349517250623],[-107.01772215012913,48.162866130869425]]]}"
00000000000000000026,2070,0.29233251622784023,0.27982434946343404,0.3355761928105712,0.25856739498842923,363.020686042,92.5152182848,285.27590628231275,348.08901214599604,348.08901214599604,348.08901214599604,"{""type"":""Polygon"",""coordinates"":[[[-106.76171149920812,48.171609463110265],[-106.76167675383637,48.171569834809176],[-106.76163665530736,48.17157045698989],[-106.76151067457674,48.17159469211344],[-106.76121586908444,48.17176004790012],[-106.76124958083307,48.17176841199368],[-106.76135630761539,48.17176678357792],[-106.7617327410713,48.17164487549833],[-106.76171149920812,48.171609463110265]]]}"
