system:index,Input_FID,dam_count_all,dam_count_anthro,dam_count_confident,.geo
000000000000000031b0,31,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59571944700947,48.154423494318806],[-106.59550875355924,48.15430132596052],[-106.5955023850127,48.15431037025261],[-106.59548849432802,48.154292720290336],[-106.59548168782563,48.154288353684684],[-106.595461722441,48.154293102354636],[-106.59544894243048,48.154311119390925],[-106.59540949172863,48.15432950349083],[-106.59541689642954,48.15435177516268],[-106.59539056243973,48.15436556812057],[-106.59557337198086,48.154447856199],[-106.5955930759462,48.15443862832424],[-106.59562566112591,48.15441136835733],[-106.59567263420129,48.154419678427004],[-106.59567318962782,48.15443751196851],[-106.59567346734094,48.154446428741515],[-106.595647133298,48.15446022179555],[-106.59567463728149,48.15448660500081],[-106.59572708676052,48.154454611234314],[-106.5957268090344,48.1544456944604],[-106.59571944700947,48.154423494318806]]]}"
000000000000000031c3,32,0,0,0,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-106.59548164060661,48.154288338999926],[-106.59548845072845,48.15429271058332]]},{""type"":""Polygon"",""coordinates"":[[[-106.5957174009364,48.15435649628795],[-106.59571109150936,48.154370049744664],[-106.59570396432547,48.154356694850385],[-106.59564425424107,48.15436647342479],[-106.59568281273019,48.154316829813],[-106.59570888513142,48.154298557636764],[-106.59555949376688,48.15421576042078],[-106.59555965406236,48.154220254558936],[-106.59554677289616,48.154238286573325],[-106.5955270690418,48.15424751440079],[-106.59549474548824,48.154279253398656],[-106.59552153354552,48.15428330892025],[-106.59550875355924,48.15430132596052],[-106.59571944700947,48.154423494318806],[-106.59573831776831,48.154387516122505],[-106.59575728970925,48.15435152295612],[-106.5957174009364,48.15435649628795]]]}]}"
000000000000000031b2,33,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.5956373423593,48.15414323874037],[-106.59562444506591,48.15415683315304],[-106.59555949376688,48.15421576042078],[-106.59570888513142,48.154298557636764],[-106.59572847159666,48.154284907159585],[-106.59576758539264,48.15425309707252],[-106.59582064910983,48.154243446008884],[-106.5956373423593,48.15414323874037]]]}"
000000000000000031ad,34,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59572880372494,48.15407945024485],[-106.59568232815896,48.15408906020135],[-106.59566329723091,48.15412054405013],[-106.5956373423593,48.15414323874037],[-106.59582064910983,48.154243446008884],[-106.59585368832373,48.154234034533914],[-106.5958665693839,48.15421600248267],[-106.59587902854412,48.154188997159],[-106.59589208613093,48.15417989683822],[-106.59589849748747,48.15417092408507],[-106.59572880372494,48.15407945024485]]]}"
000000000000000031af,35,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.5958197093467,48.15399782834965],[-106.59580736765581,48.154029256147545],[-106.59577506065263,48.154065432675054],[-106.59572880372494,48.15407945024485],[-106.59589849748747,48.15417092408507],[-106.59593108229988,48.15414366416257],[-106.5959506257424,48.15412994214347],[-106.5959766234077,48.154107318917255],[-106.5958197093467,48.15399782834965]]]}"
000000000000000031a9,36,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59587128183752,48.15393901321569],[-106.59585899932503,48.15397495009119],[-106.5958197093467,48.15399782834965],[-106.5959766234077,48.154107318917255],[-106.59598299183277,48.15409827463173],[-106.59599577157705,48.15408025760407],[-106.59604722656604,48.15401701970613],[-106.59587128183752,48.15393901321569]]]}"
000000000000000031ab,37,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59596174877396,48.15384398064209],[-106.59592229861727,48.15386236477521],[-106.59596274250357,48.153875224762906],[-106.59594968503895,48.153884325037616],[-106.59590956183659,48.153880453256754],[-106.59587697726852,48.15390771302983],[-106.59587128183752,48.15393901321569],[-106.59604722656604,48.15401701970613],[-106.59606006457103,48.15399891616739],[-106.59610604361855,48.15397598177058],[-106.59612546947577,48.15395783718885],[-106.59596174877396,48.15384398064209]]]}"
000000000000000031ae,38,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59608712432282,48.15379760227719],[-106.59606742072727,48.15380683013142],[-106.59605448075583,48.153820352969824],[-106.59602144189762,48.153829764430796],[-106.59599461105257,48.153825637540535],[-106.59596174877396,48.15384398064209],[-106.59612546947577,48.15395783718885],[-106.59614487906775,48.153935255045866],[-106.5962240144567,48.15390733167122],[-106.59623042570297,48.153898358945135],[-106.59608712432282,48.15379760227719]]]}"
000000000000000031aa,39,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.596246473354,48.153768547244674],[-106.59623972595888,48.153768689825874],[-106.59622750214064,48.15380454009124],[-106.59617448182648,48.15381426282516],[-106.59620015842334,48.15378265148522],[-106.59621249973186,48.15375122379361],[-106.5962259361981,48.153751025166265],[-106.5962120023319,48.153733303963094],[-106.59617941801453,48.153760563755995],[-106.5961198261747,48.15377476505269],[-106.59608712432282,48.15379760227719],[-106.59623042570297,48.153898358945135],[-106.59625659889846,48.153880071784286],[-106.59632228139077,48.15384790943817],[-106.596246473354,48.153768547244674]]]}"
000000000000000031a5,40,0,0,0,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.59621841354567,48.153724331268236],[-106.5962120023319,48.153733303963094],[-106.5962259361981,48.153751025166265],[-106.59625272418407,48.153755080446],[-106.59626578157062,48.153745980154525],[-106.59621841354567,48.153724331268236]]],[[[-106.59637212658707,48.15373108522683],[-106.59629229169309,48.15374111877306],[-106.59627286600542,48.153759263309574],[-106.596246473354,48.153768547244674],[-106.59632228139077,48.15384790943817],[-106.59632881009888,48.15384335927938],[-106.59641517394165,48.15382877551402],[-106.59644156664655,48.153819491520814],[-106.59637212658707,48.15373108522683]]]]}"
