system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
0000000000000000468e,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,79.72215473651886,"{""type"":""Polygon"",""coordinates"":[[[-107.54882187324367,48.0621732051787],[-107.54877838347494,48.06223668167149],[-107.54876596751159,48.0622547828616],[-107.54886040695321,48.06227948942572],[-107.54891710304449,48.06221128406099],[-107.54892300990858,48.062197716892314],[-107.54882187324367,48.0621732051787]]]}"
00000000000000004684,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,101.85013009607792,"{""type"":""Polygon"",""coordinates"":[[[-107.54883874326838,48.062110247048274],[-107.54884561743745,48.0621145493802],[-107.5488200854377,48.06213752114499],[-107.54882169638559,48.06216870808836],[-107.54882187324367,48.0621732051787],[-107.54892300990858,48.062197716892314],[-107.54892906353952,48.06218420466751],[-107.54897255305404,48.06212072817631],[-107.54898451348038,48.06209364882446],[-107.54900334808067,48.06207087180201],[-107.54883874326838,48.062110247048274]]]}"
0000000000000000468f,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,141.00827369093895,"{""type"":""Polygon"",""coordinates"":[[[-107.54900183863002,48.06203966894184],[-107.54897388648581,48.06201348151344],[-107.54895968272646,48.0619958987169],[-107.5489394705111,48.06199189901784],[-107.54877573171711,48.06204915951541],[-107.54878467214786,48.06209362692714],[-107.54883874326838,48.062110247048274],[-107.54900334808067,48.06207087180201],[-107.54900953343005,48.06206178576338],[-107.54900183863002,48.06203966894184]]]}"
00000000000000004691,34,0.0,0.0,54.76275089231192,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,104.25463023781776,"{""type"":""Polygon"",""coordinates"":[[[-107.54888535433746,48.06197520806712],[-107.54885039646253,48.06194029216658],[-107.54873120135827,48.061956300936465],[-107.54874004006443,48.06200078425713],[-107.54876139633254,48.062027150518816],[-107.54876895922905,48.062044841201306],[-107.54877573171711,48.06204915951541],[-107.5489394705111,48.06199189901784],[-107.54888535433746,48.06197520806712]]]}"
0000000000000000468d,35,0.0,0.0,12.135413686901916,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,73.09508976340294,"{""type"":""Polygon"",""coordinates"":[[[-107.54882244453874,48.06191410473804],[-107.5488062197003,48.061856427944356],[-107.5487199313182,48.061862816406425],[-107.54872762590142,48.06188493318148],[-107.54872171904027,48.06189850025702],[-107.54873120135827,48.061956300936465],[-107.54885039646253,48.06194029216658],[-107.54882244453874,48.06191410473804]]]}"
00000000000000004694,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,63.999745935201645,"{""type"":""Polygon"",""coordinates"":[[[-107.54879022830482,48.06180316136482],[-107.54879541626707,48.061771763909576],[-107.54870225400579,48.0617738500301],[-107.54871260186646,48.061849535938975],[-107.5487199313182,48.061862816406425],[-107.5488062197003,48.061856427944356],[-107.54880576432727,48.06184744980028],[-107.54879022830482,48.06180316136482]]]}"
00000000000000004692,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,91.32987770438194,"{""type"":""Polygon"",""coordinates"":[[[-107.54867223616245,48.061707497815384],[-107.548666916389,48.06173446909608],[-107.54868025430363,48.061734166523955],[-107.54867471257312,48.06175656984089],[-107.54869551165508,48.06177397384797],[-107.54879541626707,48.061771763909576],[-107.54879472749577,48.061758375628834],[-107.54881095363665,48.06168210066853],[-107.54869093893663,48.06168029489789],[-107.54868475360428,48.06168938084934],[-107.5486982232385,48.06169350440281],[-107.54868516383623,48.06169828804536],[-107.54868557406817,48.0617071952429],[-107.54867223616245,48.061707497815384]],[[-107.54868557406817,48.0617071952429],[-107.5486862628004,48.06172058351234],[-107.5486990888222,48.06171138971975],[-107.54868557406817,48.0617071952429]],[[-107.54868025430363,48.061734166523955],[-107.54870018779444,48.06173368519193],[-107.54868643964531,48.0617250805648],[-107.54868025430363,48.061734166523955]]]}"
00000000000000004688,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,86.38053861260414,"{""type"":""Polygon"",""coordinates"":[[[-107.54869313861177,48.0615909343997],[-107.5486822771755,48.06164030888748],[-107.54871005192386,48.061661999181105],[-107.54869093893663,48.06168029489789],[-107.54881095363665,48.06168210066853],[-107.54881067512076,48.06167761960219],[-107.5488094443324,48.06165089803316],[-107.54881476399308,48.06162392679043],[-107.5488138418089,48.061606128409736],[-107.54881343154439,48.061597221230755],[-107.54869313861177,48.0615909343997]]]}"
0000000000000000468c,39,0.0,0.0,18.48520776337268,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,84.71339651942253,"{""type"":""Polygon"",""coordinates"":[[[-107.54871537327861,48.061501076743134],[-107.54869873683928,48.06156844424996],[-107.54869313861177,48.0615909343997],[-107.54881343154439,48.061597221230755],[-107.54881961683662,48.061588135288005],[-107.54881782900335,48.06155245165347],[-107.54881627457388,48.0615211781738],[-107.54881568744521,48.06150777397582],[-107.54871537327861,48.061501076743134]]]}"
0000000000000000468b,40,0.0,0.0,13.441653245336868,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,83.35138338804245,"{""type"":""Polygon"",""coordinates"":[[[-107.54873077890753,48.06140698787498],[-107.5487247253731,48.06142049988431],[-107.54872610287687,48.06144727627849],[-107.54872142683186,48.061487564713126],[-107.54871537327861,48.061501076743134],[-107.54881568744521,48.06150777397582],[-107.54881517552406,48.06149888279536],[-107.54885825398104,48.06142650005669],[-107.54873077890753,48.06140698787498]]]}"
