system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
00000000000000000617,3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,833.3747034948319,"{""type"":""Polygon"",""coordinates"":[[[-107.02686046619337,47.998323054195424],[-107.02687337930819,47.99831385411745],[-107.02687238138293,47.99828709392067],[-107.02688533827772,47.99827796495937],[-107.02686480390587,47.99826491361268],[-107.0268954407764,47.99819740128128],[-107.02599473895623,47.99813730872643],[-107.0256765356525,47.99816974012356],[-107.02683366797423,47.99831904591894],[-107.02686046619337,47.998323054195424]],[[-107.02683366797423,47.99831904591894],[-107.02685996723575,47.99830967409278],[-107.02682630513479,47.99830134419824],[-107.02683366797423,47.99831904591894]]]}"
00000000000000000618,3003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,939.6415027575567,"{""type"":""Polygon"",""coordinates"":[[[-107.02553391207579,47.9982660490644],[-107.02553434098971,47.998275006282256],[-107.02552534593987,47.998386824293874],[-107.02553270806331,47.99840452616139],[-107.02667830254492,47.9984289644172],[-107.02673025739956,47.998396784959645],[-107.02674421217546,47.99841441624909],[-107.0267510760706,47.998418737882886],[-107.02675645560609,47.99838742854345],[-107.02676293407858,47.99838286406124],[-107.02553391207579,47.9982660490644]]]}"
00000000000000000619,3008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1021.3927166489884,"{""type"":""Polygon"",""coordinates"":[[[-107.02552378437291,47.99783746725686],[-107.02551196935362,47.99787341168328],[-107.02549792183994,47.998025510451406],[-107.0255061101664,47.99806556483193],[-107.02657919299429,47.997939416530066],[-107.02552378437291,47.99783746725686]]]}"
0000000000000000061a,2996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,140.22332719154656,"{""type"":""Polygon"",""coordinates"":[[[-107.02592575128247,47.99892461185351],[-107.02591362053725,47.99895609381023],[-107.02589422846155,47.99896985835948],[-107.02589494154688,47.99898771731386],[-107.02589593872383,47.999014477898434],[-107.0260703117337,47.99904711707161],[-107.02606992649146,47.999038230839936],[-107.02608953309927,47.99902894490778],[-107.02608112946383,47.9989844111913],[-107.02609337351464,47.9989574232602],[-107.02592575128247,47.99892461185351]]]}"
0000000000000000061b,2999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,139.09123159386218,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.02604875839984,47.99866787361878],[-107.02603530388423,47.99866365139741]]},{""type"":""Polygon"",""coordinates"":[[[-107.02573356769363,47.99860642764237],[-107.02574619696576,47.99858832610624],[-107.02572609205612,47.99858423169459],[-107.02572691844213,47.99860658455269],[-107.02573356769363,47.99860642764237]]]},{""type"":""Polygon"",""coordinates"":[[[-107.02604876113624,47.998667869682556],[-107.02604875839984,47.99866787361878],[-107.02602360383452,47.99870405749444],[-107.02599894511953,47.99875362555152],[-107.02615311095529,47.998782185462794],[-107.02615268189581,47.99877322816448],[-107.02615794855852,47.99873742459004],[-107.02615075677166,47.998724130199676],[-107.02616964997513,47.9986969854558],[-107.02604876113624,47.998667869682556]]]},{""type"":""Polygon"",""coordinates"":[[[-107.02572691844213,47.99860658455269],[-107.02570681352934,47.998602490135674],[-107.02571274977052,47.99858447440079],[-107.02567897475635,47.9985716500189],[-107.0255985115062,47.99855520118078],[-107.02561246561747,47.99857283270493],[-107.02563969244972,47.99858579861989],[-107.0256464550529,47.99859013574728],[-107.02565979733095,47.99858989305045],[-107.0256600813725,47.99859879460573],[-107.02564684019828,47.99859902190692],[-107.02568161225071,47.99863860670472],[-107.02568737782852,47.998616183433185],[-107.02570748274198,47.99862027785533],[-107.02572823109968,47.9986378081899],[-107.02573449519058,47.99862876511389],[-107.02572691844213,47.99860658455269]],[[-107.02568040074024,47.99860736766958],[-107.02567413664416,47.998616410738464],[-107.02568737782852,47.998616183433185],[-107.02568040074024,47.99860736766958]],[[-107.02567303850375,47.99858966574755],[-107.02566606142437,47.99858084998715],[-107.02565979733095,47.99858989305045],[-107.02567303850375,47.99858966574755]]]}]}"
0000000000000000061d,3015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1201.5131422830746,"{""type"":""Polygon"",""coordinates"":[[[-107.02611479148194,47.99729557330958],[-107.02529320542743,47.997385989511315],[-107.02532280996623,47.9974613608034],[-107.02535922077875,47.99754114037002],[-107.02544303162932,47.99764240305654],[-107.0254772603356,47.99766853616162],[-107.02614916552288,47.997321761705535],[-107.02611479148194,47.99729557330958]]]}"
0000000000000000061e,3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,377.91820357274264,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.02645005827897,47.998549140066515],[-107.02645023313492,47.998553603338365],[-107.02645688313547,47.99855348598034]]},{""type"":""Polygon"",""coordinates"":[[[-107.02553292251922,47.99840900478201],[-107.02554797459632,47.99845338117974],[-107.0259106806837,47.99854080084363],[-107.02591683132911,47.99852726374862],[-107.02594270169008,47.9985089348782],[-107.0259556587598,47.998499805999145],[-107.0259816301995,47.9984814617325],[-107.02598810872789,47.99847689729293],[-107.02553292251922,47.99840900478201]]]},{""type"":""Polygon"",""coordinates"":[[[-107.02608181353722,47.998493118411375],[-107.02607576405453,47.998506640110485],[-107.02603722078622,47.998542999453704],[-107.02608412384068,47.99855110230947],[-107.02607797323974,47.99856463942024],[-107.02607192374158,47.99857816113799],[-107.0262129174253,47.998611371149494],[-107.02623152635016,47.99857532490683],[-107.02641699952306,47.99855415939144],[-107.02642326347899,47.99854511628841],[-107.02608181353722,47.998493118411375]]]}]}"
0000000000000000061f,2993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,134.65855766786262,"{""type"":""Polygon"",""coordinates"":[[[-107.02593236100117,47.99926397821947],[-107.02594356425706,47.999210158347275],[-107.02578253336563,47.99917727612963],[-107.02577028904322,47.99920426414148],[-107.02577121654073,47.99922660186812],[-107.02577204292899,47.99924895500045],[-107.02577275594618,47.999266814052824],[-107.02577314111278,47.99927570032646],[-107.02597388452355,47.99930339106389],[-107.0259737138127,47.999298983482255],[-107.02593236100117,47.99926397821947]]]}"
00000000000000000620,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,321.04171398933977,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.02607192374158,47.99857816113799],[-107.02605260151977,47.99859634853144],[-107.02604804796607,47.998650010840755],[-107.0260284415669,47.998659296691834],[-107.02603530536535,47.99866361839949],[-107.02616964997513,47.9986969854558],[-107.02618260709274,47.99868785651207],[-107.02618210839174,47.998674476306014],[-107.02618178043139,47.998665503630114],[-107.02620698138746,47.998629386919404],[-107.0262129174253,47.998611371149494],[-107.02607192374158,47.99857816113799]]],[[[-107.02571274977052,47.99858447440079],[-107.02571890048313,47.99857093730545],[-107.02572609205612,47.99858423169459],[-107.02574619696576,47.99858832610624],[-107.02575246104398,47.99857928303795],[-107.02579886536674,47.99857400585685],[-107.0258599370523,47.99860421896613],[-107.02589167404575,47.99856345142815],[-107.02590463114089,47.998554322545814],[-107.0259106806837,47.99854080084363],[-107.02554797459632,47.99845338117974],[-107.02557033155253,47.99851554602143],[-107.0255985115062,47.99855520118078],[-107.02567897475635,47.9985716500189],[-107.02571274977052,47.99858447440079]],[[-107.02572416748947,47.99853513388465],[-107.02573114457975,47.99854394963283],[-107.02574427237242,47.99853922829352],[-107.02572416748947,47.99853513388465]],[[-107.02574552773329,47.99857053839822],[-107.02573904917541,47.99857510283035],[-107.02575246104398,47.99857928303795],[-107.02574552773329,47.99857053839822]],[[-107.02569214635002,47.99856699979655],[-107.02567199767802,47.99856283426193],[-107.02567897475635,47.9985716500189],[-107.02569214635002,47.99856699979655]]]]}"
00000000000000000621,2988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,205.6681971885264,"{""type"":""Polygon"",""coordinates"":[[[-107.0260543683261,47.999659279101444],[-107.02601932306092,47.99961530148928],[-107.025785685582,47.999597052931605],[-107.02577255740071,47.99960177438198],[-107.02577415409836,47.9996419003456],[-107.02577590795556,47.99968659157938],[-107.02578327041357,47.99970429385937],[-107.0260688217229,47.999690291380176],[-107.0260543683261,47.999659279101444]]]}"
