system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
0000000000000000060d_+293+19012,40.49553725970612,93.79374103257992,28.87546529334012,34.882509449918,52.649539775645295,39.531951676095034,36.99574307484398,45.45287700698993,3012,36.39852849379099,1,1,710.641357421875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0261797949272,47.99763277836585]}"
0000000000000000060f_+298+19033,31.79003441362274,38.2232745785413,41.440823041329445,34.93154519313723,33.75244285971086,32.969106307788444,41.94744095364476,36.26788632377203,3014,35.088423242401454,1,1,710.6673583984375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02612168951175,47.99744249970695]}"
00000000000000000610_+286+18971,29.446011437879406,30.42103667677064,72.29588469527457,29.345125954020865,88.94315093691877,29.526104347949712,29.44442543761516,42.33147628580929,3007,29.230070800045183,1,1,710.3908081054688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02625623266592,47.99800348994193]}"
00000000000000000612_+292+18983,25.051422570632624,71.81632160155763,23.79113426158422,30.042422908051122,37.51922696866762,28.223949955334042,55.09219692446396,37.926278340337234,3009,31.873551532406623,1,1,710.406982421875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02618091737052,47.99789386634274]}"
00000000000000000615_+308+18852,19.1514743272445,36.92845708238873,19.097284050899262,44.14357040143647,63.16085468786423,24.194805058920807,27.659705747519915,33.21723179517573,2995,31.4017030051319,1,1,709.1959838867188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02591106719656,47.99906743340478]}"
00000000000000000616_+301+18871,21.244621637323462,64.64648991894242,21.26630854743361,30.926301465321856,61.78374950645567,32.5462633430214,22.742585241700752,34.52739567826116,2997,21.062845765890074,1,1,709.5320434570312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02601290776177,47.998898551145615]}"
00000000000000000617_+287+18945,26.28352666336768,76.89894679767438,27.545897419956255,29.76765330835544,96.07971105188437,27.49284589157454,27.882240788077,42.40136069673207,3005,27.260063652966885,1,1,710.1756591796875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0262318269079,47.99823702991716]}"
00000000000000000618_+288+18925,20.887385185550528,75.88431981604982,24.026861681151388,24.348594364195833,74.69858557219459,24.673893460078958,24.046836102254915,36.60093456177718,3003,24.241000312741363,1,1,709.9281616210938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02620996094755,47.99841661046234]}"
00000000000000000619_+288+18976,28.808963410900397,36.37053954434092,51.683708508296746,31.188572767577675,50.27954339095313,29.23266805860974,34.60652253242917,36.37262737958153,3008,28.810500823544466,1,1,710.3716430664062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02623155086056,47.99795795551293]}"
0000000000000000061a_+305+18857,18.805143823965736,51.608250992042095,18.698014478108647,30.486408251636767,40.498984102537726,27.202812132494643,27.030296461711607,29.612322398134587,2996,22.568668942579492,1,1,709.175537109375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02595338259817,47.9990233197428]}"
0000000000000000061b_+297+18890,22.5489217171165,49.15750574191766,22.6116849975854,31.421072008394397,60.59224495105815,24.191629181435687,22.68014811438013,31.959346479644196,2999,22.471565125265656,1,1,709.6907958984375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02607454944963,47.99872881635389]}"
0000000000000000061d_+304+19047,29.434430165401984,37.156817689685646,35.422024993366264,33.816463163658604,44.626487472936574,31.293265604672854,37.55463316326808,35.46202784934137,3015,34.39210054174096,1,1,710.6942138671875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02604722200947,47.99731488951685]}"
0000000000000000061e_+292+18906,21.71481559953007,55.507203509274575,21.160194488924603,23.19929363785498,45.82049313601796,22.979730841535414,21.969077476939688,29.29547100172048,3001,22.012959323686573,1,1,709.6890258789062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02614832006299,47.998586345350866]}"
0000000000000000061f_+311+18829,19.546988162660398,83.4190534472805,24.22716307374023,20.799622231560775,102.51059859562444,18.05863246858577,33.28337662368055,39.98362875034873,2993,18.023595399657168,1,1,709.0161743164062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02586113051325,47.999273425167054]}"
00000000000000000620_+295+18898,22.03802747814545,33.88674021678721,21.930111088837734,33.19073024463187,47.49522322495201,23.310244670229196,21.95960038479346,28.221913890018538,3000,21.964633811771336,1,1,709.6705322265625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02610473511156,47.998657438788506]}"
00000000000000000621_+305+18783,30.213672198930723,77.17426944906845,29.810494386232563,24.804478630933772,60.932599680182136,32.646636794445044,59.93395456513333,42.56247588747477,2988,24.983701394872128,1,1,708.5919189453125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02592205177811,47.99968881863391]}"
00000000000000000622_+301+18793,28.277438242310524,31.75300628507285,58.874329711536035,48.14898404281259,72.10442475828316,61.76317865198409,20.491953730822644,42.227452516224844,2989,16.40630470697684,1,1,708.5799560546875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02597988423395,47.999600023002124]}"
