system:index,Input_FID,Poly_unique_id,dam_count_all,dam_count_anthro,dam_count_confident,.geo
00000000000000002c73,39,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27340201510673,48.42159965321269],[-107.27338234066178,48.42160896726067],[-107.27335612056945,48.421622900973766],[-107.27330387798685,48.421655210172744],[-107.27327037930684,48.42165590904884],[-107.27342206252813,48.42174665498883],[-107.273487976665,48.42171859056415],[-107.27350013003698,48.421691528327216],[-107.27340201510673,48.42159965321269]]]}"
00000000000000002c6d,40,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27352036904804,48.421543721424634],[-107.27349351121154,48.42154425829485],[-107.27342867530193,48.42159467459006],[-107.27340201510673,48.42159965321269],[-107.27350013003698,48.421691528327216],[-107.2735062803553,48.42167802507638],[-107.27354602464686,48.4216682804657],[-107.27359850966819,48.42164048445152],[-107.27352036904804,48.421543721424634]]]}"
00000000000000002c69,41,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27367373243649,48.421522870963216],[-107.27359409684553,48.42154230449008],[-107.27355371485706,48.421538652234766],[-107.27352036904804,48.421543721424634],[-107.27359850966819,48.42164048445152],[-107.27366418110611,48.4216079066465],[-107.27369767988198,48.42160720763141],[-107.27367373243649,48.421522870963216]]]}"
00000000000000002c65,42,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27380781694058,48.421520217916004],[-107.27377491129904,48.42153424227581],[-107.2737204623868,48.42151746171421],[-107.27367373243649,48.421522870963216],[-107.27369767988198,48.42160720763141],[-107.27377160564183,48.421610232328725],[-107.27380490675647,48.42160509149918],[-107.27383864809904,48.42160890575287],[-107.27380781694058,48.421520217916004]]]}"
00000000000000002c7b,43,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.2739061511921,48.421469102360454],[-107.27380781694058,48.421520217916004],[-107.27383864809904,48.42160890575287],[-107.27384533376826,48.42160881519144],[-107.27390431944262,48.42157632780545],[-107.27395045638912,48.4215575931201],[-107.27397052623087,48.42155716250719],[-107.2739061511921,48.421469102360454]]]}"
00000000000000002c58,44,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27403974510305,48.42145310788274],[-107.27402036375265,48.42147132137758],[-107.27395986699788,48.42146802838013],[-107.2739061511921,48.421469102360454],[-107.27397052623087,48.42155716250719],[-107.27400426760954,48.42156097669842],[-107.27402350173638,48.42154270745001],[-107.27404952398105,48.42152433181076],[-107.27410928758935,48.421509770321876],[-107.27403974510305,48.42145310788274]]]}"
00000000000000002c6a,45,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.2741234188804,48.421375538603485],[-107.27406429350756,48.42140349687322],[-107.2740525360525,48.421439442544894],[-107.27403974510305,48.42145310788274],[-107.27410928758935,48.421509770321876],[-107.27411607572508,48.4215096639235],[-107.27420034280566,48.42144541977419],[-107.2741234188804,48.421375538603485]]]}"
00000000000000002c5c,46,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27424924860885,48.421337282597996],[-107.27416941547074,48.42135227477593],[-107.2741234188804,48.421375538603485],[-107.27420034280566,48.42144541977419],[-107.27420669061839,48.42143635830676],[-107.27430570744362,48.42139871078406],[-107.27424924860885,48.421337282597996]]]}"
00000000000000002c5d,47,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27437497578525,48.421299042275905],[-107.2743284884509,48.42130896511085],[-107.27424924860885,48.421337282597996],[-107.27430570744362,48.42139871078406],[-107.27435932090961,48.421397652397246],[-107.27438607642104,48.42139713110161],[-107.27441293440451,48.42139659397981],[-107.27443935201944,48.42138710179825],[-107.27437497578525,48.421299042275905]]]}"
00000000000000002c52,48,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27450074768937,48.42126087336137],[-107.27447472573603,48.421279249024785],[-107.2744217505275,48.42129370425179],[-107.27437497578525,48.421299042275905],[-107.27443935201944,48.42138710179825],[-107.27447953654432,48.421386311908805],[-107.27449139608389,48.42135035041168],[-107.27453753274214,48.421331615531145],[-107.27450074768937,48.42126087336137]]]}"
