system:index,Input_FID,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000025f9,21,221.9418830013743,214.2026503361908,228.641721078695,252.4454492615718,0,0,0,0,388.2870899438858,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09257267612865,48.41504111187464],[-107.09253828081675,48.41501939206887],[-107.09251344221411,48.415068971038934],[-107.09254063925323,48.415077442044804],[-107.09257962546042,48.415045460789536],[-107.09257267612865,48.41504111187464]]],[[[-107.09290899257358,48.41473574573692],[-107.0928745972,48.41471402617696],[-107.09281989632132,48.414688271866666],[-107.0925090631104,48.41496191431146],[-107.09254298937813,48.41497022045118],[-107.0925571369712,48.41498781816548],[-107.09259056532017,48.41498718400794],[-107.0925846852623,48.41500517342131],[-107.0926054598984,48.415022621902125],[-107.09292278894779,48.4147444590873],[-107.09290899257358,48.41473574573692]]]]}"
000000000000000025f5,22,221.35348761759556,125.01546458964256,270.2452249692934,270.2452249692934,0,0,0,0,382.51212963461876,"{""type"":""Polygon"",""coordinates"":[[[-107.09280610000684,48.41467955850919],[-107.09277855177017,48.41466220342107],[-107.09275139926633,48.414653804173085],[-107.09271045052066,48.414636691552744],[-107.09239922174547,48.414901377489],[-107.0924197472659,48.4149099260999],[-107.09246697175207,48.41491800544099],[-107.09248863983707,48.41495335009377],[-107.0925090631104,48.41496191431146],[-107.09281989632132,48.414688271866666],[-107.09280610000684,48.41467955850919]]]}"
00000000000000002622,23,208.3002971422438,183.53263348107242,208.3002971422438,208.3002971422438,0,0,0,0,351.36387795209885,"{""type"":""Polygon"",""coordinates"":[[[-107.09266290386758,48.414624114253904],[-107.09262213088566,48.41461144370694],[-107.09257480435272,48.414603380100736],[-107.09230295705801,48.414845040303646],[-107.09234430124468,48.414871109051894],[-107.09239922174547,48.414901377489],[-107.09271045052066,48.414636691552744],[-107.09266290386758,48.414624114253904]]]}"
00000000000000002629,24,195.507747129833,195.507747129833,195.507747129833,195.507747129833,0,0,0,0,325.8800332546234,"{""type"":""Polygon"",""coordinates"":[[[-107.09256122817328,48.4145991804516],[-107.09247427140279,48.41460524208981],[-107.09241992245374,48.41458837179383],[-107.09239312143889,48.414588856657],[-107.09236592482604,48.4145803856761],[-107.09233877259958,48.414571986317604],[-107.09224198100563,48.41482831905052],[-107.09228235833368,48.414832033932235],[-107.09230295705801,48.414845040303646],[-107.09257480435272,48.414603380100736],[-107.09256122817328,48.4145991804516]]]}"
0000000000000000261e,25,224.95390230464005,224.95390230464005,224.95390230464005,224.95390230464005,0,0,0,0,304.7005338072777,"{""type"":""Polygon"",""coordinates"":[[[-107.09232497651334,48.41456327290436],[-107.09228442384217,48.41455511595077],[-107.09224365123643,48.41454244525034],[-107.09220352312853,48.41454763018471],[-107.09211368002484,48.41480831161536],[-107.09220155933814,48.41482453252184],[-107.09224198100563,48.41482831905052],[-107.09233855261725,48.4145674725859],[-107.09232497651334,48.41456327290436]]]}"
00000000000000002628,26,200.17846246490294,200.17846246490294,200.55617674939776,261.5742110729218,0,0,0,0,290.141270339489,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09208723251304,48.41449168472617],[-107.09207457879165,48.41450976713123],[-107.0920942549263,48.41450049135262],[-107.09208723251304,48.41449168472617]]],[[[-107.0921365208346,48.41454884217095],[-107.09208199674006,48.41452752959057],[-107.09207532549557,48.41452760715854],[-107.09197843019577,48.414783955067605],[-107.0919986043131,48.4147836195113],[-107.09202575650909,48.414792018999776],[-107.0920931546995,48.41479976295052],[-107.09210690641218,48.414808404806074],[-107.09211368002484,48.41480831161536],[-107.09220352312853,48.41454763018471],[-107.0921365208346,48.41454884217095]]]]}"
0000000000000000261d,27,164.40501449528858,169.6487316755687,172.21718881013342,311.294794097835,0,0,0,0,412.02711394429207,"{""type"":""Polygon"",""coordinates"":[[[-107.09206606298116,48.41446528047054],[-107.09197814033264,48.41444898789408],[-107.09191780959816,48.41445012215679],[-107.09190366258976,48.414432524510794],[-107.09189026221213,48.414432766867456],[-107.09188480218305,48.41479009375548],[-107.09197843019577,48.414783955067605],[-107.09207532549557,48.41452760715854],[-107.09205497591914,48.414523500626025],[-107.09207457879165,48.41450976713123],[-107.09208723251304,48.41449168472617],[-107.09206606298116,48.41446528047054]],[[-107.09199407392377,48.41451123701393],[-107.09198049793136,48.41450703728542],[-107.09198106901603,48.414520435213426],[-107.09199407392377,48.41451123701393]]]}"
000000000000000025fd,28,180.6233056982358,203.35910161406386,189.99062163479186,315.7543398111475,0,0,0,0,395.7334785759449,"{""type"":""Polygon"",""coordinates"":[[[-107.09187686183637,48.41443300922221],[-107.09186346146244,48.41443325157505],[-107.091770303139,48.414452803618175],[-107.09175070025285,48.41446653703672],[-107.09175109035571,48.41480148875504],[-107.09188480218305,48.41479009375548],[-107.09189026221213,48.414432766867456],[-107.09187686183637,48.41443300922221]]]}"
00000000000000002603,29,210.33248555169388,212.00484793583556,210.33248555169388,322.18328673068214,0,0,0,0,381.17532581090927,"{""type"":""Polygon"",""coordinates"":[[[-107.0917442489525,48.414471128307156],[-107.09172447050976,48.414480419627246],[-107.09171819474685,48.414489452995845],[-107.09169806521525,48.4144898601154],[-107.09169727433103,48.41447194846368],[-107.09169692325304,48.41446306426948],[-107.09164257533422,48.414446193553474],[-107.09162842850166,48.41442859586388],[-107.0916148082718,48.41442432445767],[-107.0916162367575,48.414786087557644],[-107.09164395970625,48.41480788516481],[-107.09175109035571,48.41480148875504],[-107.09175070025285,48.41446653703672],[-107.0917442489525,48.414471128307156]]]}"
00000000000000002627,30,201.98110076726644,201.98110076726644,201.98110076726644,309.1352144451702,0,0,0,0,392.17404276132584,"{""type"":""Polygon"",""coordinates"":[[[-107.09157408070482,48.414411725117],[-107.09151933759034,48.41438589853019],[-107.09147970758207,48.41440002333325],[-107.09148223990351,48.414462514801144],[-107.09157632008848,48.4144652451487],[-107.09158448421363,48.414500847667156],[-107.09148412812222,48.41450715068574],[-107.09148280308987,48.41480190868258],[-107.0916162367575,48.414786087557644],[-107.0916148082718,48.41442432445767],[-107.09157408070482,48.414411725117]],[[-107.09153387974226,48.41441245203919],[-107.09151353041148,48.414408345394854],[-107.09152122586015,48.41443053434877],[-107.09153387974226,48.41441245203919]]]}"
00000000000000002623,31,223.45093499796067,223.45093499796067,223.45093499796067,332.40246361026584,0,0,0,0,416.33215579390526,"{""type"":""Polygon"",""coordinates"":[[[-107.09143997524703,48.414414163742],[-107.09134542680587,48.41439801972853],[-107.09134813439347,48.41446495330186],[-107.09136153470482,48.414464711022184],[-107.0913621055624,48.414478108949005],[-107.09136302741587,48.41450039108138],[-107.0913428979546,48.41450079812499],[-107.09134852085312,48.414799905104076],[-107.09140229809623,48.41480337808166],[-107.09142242773517,48.41480297101883],[-107.09147602952473,48.41480200182768],[-107.09148280308987,48.41480190868258],[-107.09148412812222,48.41450715068574],[-107.0913769986045,48.41451354673458],[-107.09138925720312,48.414486508583025],[-107.09140960653382,48.41449061525964],[-107.09146901508679,48.41446719919604],[-107.09147556871439,48.41446259232606],[-107.09148223990351,48.414462514801144],[-107.09147970758207,48.41440002333325],[-107.09143997524703,48.414414163742]]]}"
00000000000000002608,32,216.77710954348237,216.77710954348237,218.74122437823044,313.6703735342212,0,0,0,0,384.45261919498444,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09129788164279,48.414385441774016],[-107.09125065869853,48.41437736190096],[-107.09124150278188,48.41448028939966],[-107.09129435767652,48.41446148030269],[-107.09134813439347,48.41446495330186],[-107.09134542680587,48.41439801972853],[-107.09129788164279,48.414385441774016]]],[[[-107.09123547558639,48.414498222559715],[-107.09119342092896,48.41478038096738],[-107.09120682133249,48.414780138705474],[-107.09125404474882,48.41478821864897],[-107.0912949191399,48.41480087422226],[-107.09134852085312,48.414799905104076],[-107.0913428979546,48.41450079812499],[-107.09123547558639,48.414498222559715]]]]}"
0000000000000000260e,33,189.4853086078868,189.4853086078868,198.0034202491536,292.93777110646755,0,0,0,0,352.62067422270775,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09119527467574,48.41449894934038],[-107.09114759840867,48.41448200081639],[-107.09114092724035,48.41448207831762],[-107.0910253894777,48.41477451243859],[-107.09103878985493,48.41477427020077],[-107.09108497395395,48.414755538599955],[-107.09112567270775,48.41476375211682],[-107.09117324698829,48.41478071635047],[-107.09119342092896,48.41478038096738],[-107.09123547558639,48.414498222559715],[-107.09119527467574,48.41449894934038]]],[[[-107.0912370829512,48.41437316207193],[-107.09122293640009,48.41435556433967],[-107.0912091408246,48.41434685078889],[-107.0912102824325,48.4143736465913],[-107.09119067950662,48.414387379876494],[-107.0911776745631,48.41439657794704],[-107.09117186719693,48.41441902480032],[-107.09120033577,48.41445866242415],[-107.09122770715568,48.41447157583251],[-107.09124150278188,48.41448028939966],[-107.09125065869853,48.41437736190096],[-107.0912370829512,48.41437316207193]]]]}"
0000000000000000260c,34,254.8692977430774,254.8692977430774,260.19897941304185,310.17989610223214,0,0,0,0,337.6426591575146,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09116474277587,48.41441023372992],[-107.09117186719693,48.41441902480032],[-107.0911776745631,48.41439657794704],[-107.09116474277587,48.41441023372992]]],[[[-107.09110757302048,48.41448716966018],[-107.09108020170261,48.41447425621217],[-107.09104000088499,48.41447498292531],[-107.09101987150694,48.41447538989909],[-107.09100647124083,48.414475632130106],[-107.09089099056713,48.414767978828564],[-107.09093158688849,48.41477620804986],[-107.09094533814265,48.4147848500791],[-107.0910253894777,48.41477451243859],[-107.09114092724035,48.41448207831762],[-107.09110757302048,48.41448716966018]]]]}"
0000000000000000260b,35,264.3331273609518,264.3331273609518,301.9300872697552,301.12777732657463,0,0,0,0,327.7807333767414,"{""type"":""Polygon"",""coordinates"":[[[-107.09098629750714,48.41447596746688],[-107.09095914608807,48.414467567715256],[-107.09094574583352,48.41446780993749],[-107.09093195032706,48.41445909632695],[-107.09091192329421,48.41445948765982],[-107.0907284166366,48.4147307785296],[-107.09076216619776,48.41473464316923],[-107.09089099056713,48.414767978828564],[-107.09100647124083,48.414475632130106],[-107.09098629750714,48.41447596746688]]]}"
00000000000000002613,36,200.2466640442025,200.2466640442025,246.80459738268564,267.0267566603772,0,0,0,0,327.53697645664215,"{""type"":""Polygon"",""coordinates"":[[[-107.09085097819937,48.41444715167755],[-107.09080347776859,48.41443464508777],[-107.09058579732313,48.414688728964116],[-107.09061287560962,48.414692671118345],[-107.09064042218294,48.41471002687814],[-107.09070816972157,48.41472665607073],[-107.0907284166366,48.4147307785296],[-107.09091192329421,48.41445948765982],[-107.09085097819937,48.41444715167755]]]}"
0000000000000000260a,37,191.39257963451684,191.39257963451684,230.14357579829644,312.72807876806627,0,0,0,0,353.8851945698261,"{""type"":""Polygon"",""coordinates"":[[[-107.09072101376425,48.41438702029742],[-107.09070059161773,48.41437845576402],[-107.09045065355966,48.41466435461256],[-107.0904642292014,48.41466855457805],[-107.09048497345685,48.41468161734099],[-107.09058579732313,48.414688728964116],[-107.09080347776859,48.41443464508777],[-107.0907627064755,48.4144219737555],[-107.09080226334584,48.41440339152874],[-107.09072101376425,48.41438702029742]]]}"
