system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
00000000000000002619_-5899-27125,81.34003017278063,25.71324725115386,43.45603880992094,23.119802841936476,76.80534143807968,63.71521316020298,84.79455997007273,54.423796377240514,42,36.44613737377689,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09012263213123,48.41425058391769]}"
0000000000000000261a_-5885-27120,73.32912368568847,35.877944340806756,76.55490447489153,30.853782501322385,60.71966461234142,59.16992317098086,73.55255773967448,56.371973357387,43,40.917886333390065,1,1,648.3099975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08993561949205,48.414201752372016]}"
0000000000000000261b_-5883-27119,71.96487297302872,37.3879264763272,87.13925486493724,31.350782810094834,62.323412729528584,56.659315236286744,76.16155214834195,57.89638618885396,44,40.183972272286404,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08990902220835,48.41419220743067]}"
0000000000000000238c_-5873-27109,82.87089320306019,33.8225436062722,89.24967331501573,31.045225063519588,73.82488318369899,64.84936543150465,89.44985343414879,62.841814968336806,45,37.6220825094743,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08978466004426,48.41410415955351]}"
0000000000000000262a_-5866-27104,88.7579837504456,45.74698544689014,90.24992285910959,31.201239204921286,73.07071008824909,79.26883171287321,91.55464887344007,67.0778156745622,46,36.772203460568626,1,1,648.3800048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0896856481577,48.41405263084838]}"
0000000000000000238b_-5861-27096,87.06268179701873,84.6034126839333,86.95371242381636,25.35080296063981,87.41654636726511,87.84431966262771,78.29494068996586,70.79725850128283,47,28.851651424995744,1,1,648.3599853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08962819525512,48.41397945383277]}"
0000000000000000245b_-5846-27094,23.889749610515267,88.95337614160307,57.48489837242532,86.84943816662121,79.94069280753703,22.266166356478536,87.7195402121189,66.89626468934455,48,88.0662558474571,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08941967697683,48.4139571805883]}"
0000000000000000245a_-5841-27085,17.17758024051389,85.88067746525273,17.086347089526356,89.76564745927448,75.95406069841692,24.03133436900049,91.73379923893263,61.521981190365224,49,90.5464029620043,1,1,648.3499755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08935588716209,48.41387487359377]}"
00000000000000002459_-5860-27076,88.96479491945168,87.82011027515557,86.09833005101946,25.055988771364795,88.96586653206533,87.56992182798922,24.46067360062652,64.16142865876546,50,24.355743292451066,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08961604320353,48.413803705628524]}"
00000000000000002610_-5844-27068,15.851045927137918,68.38267235329357,17.454786811491616,86.97978041979019,90.32596084312162,23.33170450975352,88.63582159149301,59.693933726332574,51,86.5896973545791,1,1,648.3699951171875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08940347520358,48.413722849612974]}"
00000000000000002458_-5862-27055,87.63486484240903,90.33669328556572,88.03991981117477,77.07802283530648,88.60628482718256,88.84661846231074,24.782573587246205,71.14743890817627,52,23.85453361421473,1,1,648.3900146484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08965199500929,48.41361094327909]}"
0000000000000000245c_-5861-27049,84.3147776971462,84.39154235859664,78.45521703532515,88.23430403221667,87.63924627607427,86.04367149482083,28.227114221455118,73.34683832124004,53,49.46883345428546,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0896409832667,48.41355671786162]}"
00000000000000002616_-5865-27040,80.65605358881619,83.05498547235096,76.848287800534,82.50044627817329,81.9944956873932,88.43611222337006,62.27558366785583,79.89315159846043,54,83.37924806918997,1,1,648.3699951171875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08969875043294,48.413476902033615]}"
00000000000000002618_-5869-27035,88.66502929341496,86.47774979265688,81.10401680560108,80.37471305407468,93.9843701856665,91.52779379742834,69.9797924414325,83.9348679750223,55,79.36547842990343,1,1,648.469970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08975485443564,48.41343305193418]}"
00000000000000002454_-5885-27022,80.02053090439284,74.58894972483698,87.32550452313774,45.08207421239473,25.063762259948447,80.56731039865154,19.69702865519413,54.373900481026304,56,22.646043169653993,1,1,648.489990234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0899763595513,48.41332059134884]}"
00000000000000002457_-5880-27009,32.020675414056086,35.88936268388411,26.601856887855426,79.35637053390678,89.4962786328362,82.96172053989653,70.62126495032912,61.526102850769966,57,75.26129316339548,1,1,648.4400024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08991423250832,48.41320231885714]}"
00000000000000002455_-5883-27007,34.92560522580949,30.259817468592637,27.116195915300125,93.3424026175388,98.26828494695518,93.89576450049249,55.66267843773969,63.596152764858466,58,75.29847300643932,1,1,648.510009765625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.08995558266876,48.41318516622648]}"
00000000000000002452_-5894-26993,37.985045770318564,38.22064759982323,27.29248997897043,35.94508229573398,80.99824564121812,64.29526394972969,75.24473874193747,56.11813819122075,59,88.96359155203452,1,1,648.5599975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09010997091269,48.41306233016689]}"
00000000000000002620_-5905-26988,51.59424378152952,19.636873858463204,32.55147599912028,66.02764417671587,73.15701117694215,85.85213616425172,75.49732347939681,61.319051528907494,60,86.23570359484042,1,1,648.5800170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09026061752692,48.41302041689472]}"
00000000000000002450_-5910-26983,31.792318165466398,15.639682275758474,15.97959373780074,35.860376156471894,76.9777013786768,66.67938117629355,77.47586602649979,49.563710248800945,61,76.10476307343993,1,1,648.4099731445312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09033022675597,48.41297684322179]}"
